"logFC","AveExpr","t","P.Value","adj.P.Val","B","entrez"
-0.89235960202067,4.03546189474969,-4.24169707199763,6.35161209152803e-05,0.454053624111685,0.609857634118855,"108"
-1.42223005542033,3.94432223136696,-4.17407517057084,8.08294782010828e-05,0.454053624111685,0.447159862245989,"10525"
-0.756730515396665,3.94414013377045,-3.89908607778486,0.000210803410860759,0.454053624111685,-0.200352024034179,"8086"
0.330154392588766,3.45905754362707,3.88413947009028,0.000221848421191822,0.454053624111685,-0.234858584017847,"8751"
-0.919089193654822,4.89452599778654,-3.8287201774653,0.000267838193991588,0.454053624111685,-0.362149404562913,"79817"
-0.405792112499702,8.70861202884545,-3.80633723234477,0.000288887094184119,0.454053624111685,-0.413264262726853,"5901"
0.611942618112497,9.19517637426325,3.79539324200007,0.00029974561683149,0.454053624111685,-0.43819374429046,"378938"
-0.345530267290858,6.17812761756963,-3.73714130185254,0.000364421375133487,0.454053624111685,-0.570183409713574,"30832"
-0.789348545894816,3.12806983516314,-3.67480350081718,0.00044829871813686,0.454053624111685,-0.710093959687808,"5641"
-0.749305377274063,2.69979028372012,-3.67149209258361,0.000453233347735785,0.454053624111685,-0.717486704896007,"4751"
0.172801100484383,2.47543773591121,3.66799285008553,0.000458504066045379,0.454053624111685,-0.725294434489221,"5617"
0.961028582111857,3.66248459052329,3.64812550418167,0.000489552761515333,0.454053624111685,-0.769538511993208,"4090"
0.868245608865418,4.61093400600303,3.63681019476037,0.000508119986266021,0.454053624111685,-0.794672354218235,"3400"
0.203668086302828,2.31837030207705,3.62997995893302,0.000519649816729882,0.454053624111685,-0.809820864780223,"341346"
-0.726646388829042,7.39365668270045,-3.62042813050152,0.000536191723594438,0.454053624111685,-0.830976367481885,"833"
-0.736127048092285,8.2577494877749,-3.61074023354856,0.000553479858575804,0.454053624111685,-0.852398423307775,"4720"
-0.397504289090805,7.63051388557437,-3.60588002791217,0.000562351216753263,0.454053624111685,-0.863132149277102,"2879"
0.826893742941985,3.66324021073276,3.59650765628573,0.000579841517606993,0.454053624111685,-0.8838058788899,"7562"
-0.362670641924339,9.52400489805313,-3.5929215472746,0.000586669457828648,0.454053624111685,-0.891707418014099,"7317"
-0.681138658836831,6.18135641155276,-3.5905876506206,0.000591154138594448,0.454053624111685,-0.89684725555442,"84317"
-0.851813022954046,6.30570689324381,-3.57445203552774,0.000623061744016691,0.454053624111685,-0.932325552851501,"6612"
0.976227263916996,5.59927658720885,3.54530693598387,0.00068487992186744,0.454053624111685,-0.996156920891329,"7474"
-0.62904797044845,7.65030585664651,-3.54478084398954,0.000686047506402868,0.454053624111685,-0.99730613260264,"50650"
0.742537188455988,3.01306431483067,3.54240473081504,0.000691344498879752,0.454053624111685,-1.00249525940104,"121536"
-0.463833113501616,7.88090607857144,-3.54111359038256,0.00069423903537114,0.454053624111685,-1.00531403187861,"2824"
-0.418742187536752,8.90519073160257,-3.53370022132879,0.000711082326023746,0.454053624111685,-1.02148618003093,"3747"
-1.03927418914667,4.97669419316421,-3.52281432376178,0.000736518781612489,0.454053624111685,-1.04519503269288,"5163"
0.689758916073181,4.928252313035,3.504329981165,0.000781695929823523,0.454053624111685,-1.0853472483418,"1995"
0.808619987432647,5.66989310485499,3.50153625419459,0.000788748189077775,0.454053624111685,-1.0914042482825,"116113"
-0.401457756551896,3.26151206256905,-3.48284413640065,0.000837506035494263,0.454053624111685,-1.13185122072088,"10691"
0.53616779734884,3.81367913240971,3.47276000469468,0.000864981164499095,0.454053624111685,-1.15361455888154,"6929"
-0.703119317673893,4.14497677561646,-3.47152270827498,0.000868410430001781,0.454053624111685,-1.15628208975064,"51673"
-0.575403930596385,6.62684998833678,-3.47110977217295,0.000869557774861557,0.454053624111685,-1.15717221809099,"112812"
-0.697632138629103,7.10353231894056,-3.46678489043958,0.000881660948842059,0.454053624111685,-1.16649090118048,"6400"
-1.3571332753804,4.1340479296411,-3.46511030294701,0.000886389931943046,0.454053624111685,-1.17009708539493,"80763"
-0.488458984261204,10.0850895137999,-3.46503193300433,0.000886611832802615,0.454053624111685,-1.17026582588967,"4809"
-0.458597425473531,8.10962718098577,-3.45705198743013,0.000909483764190794,0.454053624111685,-1.18743486956489,"3708"
0.762947631147312,5.89468762268753,3.40904500850865,0.00105929121772632,0.514927036153698,-1.29018420313271,"84698"
-1.05620265139324,6.20023757601139,-3.38148970435372,0.00115550456549925,0.547294367535952,-1.34873889900851,"5168"
0.541849771029755,3.7105279882584,3.36144718239469,0.00123060015951948,0.557340255368408,-1.3911333487018,"83943"
-0.342086562267987,8.84989414914559,-3.32818562845758,0.00136545999010817,0.557340255368408,-1.46112166068587,"2596"
0.260088579636234,3.45256076139144,3.32579251359584,0.00137568097504925,0.557340255368408,-1.46613940338349,"221"
-0.486384930821282,8.55972613119961,-3.29902931274126,0.00149499857925997,0.557340255368408,-1.52209084159958,"7386"
-0.594469945280816,5.03646562260833,-3.29678132881717,0.00150545159952988,0.557340255368408,-1.52677673574466,"26232"
0.230139872370947,3.32079659800002,3.29472349597429,0.00151508061641613,0.557340255368408,-1.53106438499998,"256710"
0.117911437633052,1.81922419354514,3.29315388809345,0.00152246401071216,0.557340255368408,-1.53433357367074,"343406"
-0.456746577143961,7.39130066030439,-3.28586944894031,0.00155717458376943,0.557340255368408,-1.54949195375071,"6049"
-0.75043497802351,4.41736877625154,-3.27036752494876,0.00163353129861368,0.557340255368408,-1.58167509594224,"22999"
-0.702898311296006,4.53686873795125,-3.26998018935358,0.00163548345035305,0.557340255368408,-1.58247791910434,"408263"
